"Latitude","Longitude","Query","Size"
40.7723,-73.977546,"Central Park",4
40.774066,-73.967071,"Central Park",3
40.768924,-73.975307,"Central Park",4
40.768924,-73.975307,"Central Park",12
40.768924,-73.975307,"Central Park",3
40.768924,-73.975307,"Central Park",20
40.739722,-74.002157,"Central Park",3
40.781499,-73.97184,"Central Park",6
40.768902,-73.960739,"Central Park",8
40.765468,-73.976094,"Central Park",3
40.76878,-74.01686,"River",6
40.776167,-73.956152,"River",6
40.720045,-73.974813,"River",6
40.728811,-74.011344,"River",6
40.706086,-73.996864,"River",7
40.721531,-73.962351,"River",6
40.801898,-73.916702,"River",7
40.767445,-73.955902,"River",6
40.733349,-73.974042,"River",6
40.800415,-74.068913,"River",6
40.751503,-74.008111,"River",7
40.76878,-74.01686,"River",6
40.762755,-73.973358,"River",6
40.8052,-73.939,"River",6
40.721131,-73.961702,"River",6
40.752605,-73.993266,"River",6
40.76878,-74.01686,"River",5
40.7759,-74.0129,"River",6
40.76878,-74.01686,"River",6
40.72456,-74.011778,"River",6
40.76878,-74.01686,"River",5
40.76878,-74.01686,"River",6
40.777635,-73.946536,"River",6
40.76878,-74.01686,"River",5
40.720894,-73.964586,"River",5
40.76509,-73.980066,"River",7
40.7759,-74.0129,"River",7
40.763673,-73.978598,"River",6
40.76878,-74.01686,"River",7
40.716243,-74.032964,"River",7
40.720045,-73.974813,"River",6
40.76878,-74.01686,"River",7
40.809299,-73.934799,"River",5
40.76878,-74.01686,"River",7
40.76878,-74.01686,"River",6
40.76878,-74.01686,"River",7
40.720045,-73.974813,"River",6
40.779721,-73.988761,"River",6
40.76878,-74.01686,"River",6
40.738863,-74.026698,"River",6
40.76878,-74.01686,"River",6
40.76878,-74.01686,"River",6
40.7048,-74.012572,"River",6
40.814201,-73.934303,"River",6
40.76878,-74.01686,"River",6
40.76878,-74.01686,"River",6
40.76878,-74.01686,"River",7
40.769247,-74.024902,"River",6
40.76878,-74.01686,"River",6
40.76878,-74.01686,"River",6
40.814201,-73.934303,"River",6
40.76878,-74.01686,"River",6
40.77374,-74.030029,"River",6
40.738863,-74.026698,"River",6
40.705907,-73.989266,"River",6
40.721131,-73.961702,"River",6
40.721531,-73.962351,"River",6
40.76878,-74.01686,"River",6
40.720045,-73.974813,"River",6
40.738169,-74.009718,"River",6
40.7439,-74.0328,"River",6
40.76878,-74.01686,"River",6
40.720045,-73.974813,"River",6
40.77736,-74.01606,"River",7
40.710542,-74.018144,"River",6
40.76878,-74.01686,"River",6
40.734218,-74.010558,"River",6
40.730347,-74.010243,"River",6
40.721502,-73.962107,"River",6
40.729591,-74.011689,"River",6
40.795732,-73.974187,"River",6
40.711373,-74.01784,"River",6
40.729879,-73.959927,"River",6
40.76878,-74.01686,"River",6
40.700549,-73.925536,"River",6
40.730347,-74.010243,"River",5
40.702396,-73.987977,"River",6
40.750021,-74.008501,"River",6
40.72486,-73.983523,"River",6
40.732425,-73.973924,"River",7
40.772053,-74.012636,"River",6
40.69162,-73.955578,"River",6
40.716243,-74.032964,"River",6
40.796377,-73.996286,"River",7
40.78984,-73.99782,"River",6
40.73508,-73.974801,"River",5
40.730347,-74.010243,"River",6
40.773805,-73.94397,"River",6
40.71674,-74.017036,"River",5
40.76878,-74.01686,"River",6
40.776113,-73.95601,"River",6
40.756156,-73.973792,"River",5
40.721131,-73.961702,"River",6
40.810811,-73.964951,"River",6
40.742773,-73.985275,"River",6
40.730347,-74.010243,"River",6
40.729894,-73.959923,"River",6
40.711354,-73.947587,"River",6
40.738863,-74.026698,"River",6
40.76878,-74.01686,"River",6
40.729894,-73.959923,"River",6
40.78984,-73.99782,"River",6
40.795719,-73.932045,"River",6
40.746607,-74.010617,"River",6
40.704574,-74.003209,"River",6
40.730347,-74.010243,"River",6
40.720045,-73.974813,"River",6
40.722463,-73.973658,"River",6
40.749317,-74.009104,"River",7
40.72456,-74.011778,"River",7
40.686362,-73.977033,"River",7
40.735396,-74.010236,"River",6
40.779721,-73.988761,"River",6
40.738863,-74.026698,"River",6
40.720894,-73.964586,"River",6
40.705566,-73.933723,"River",6
40.735396,-74.010236,"River",7
40.720045,-73.974813,"River",6
40.779799,-73.943972,"River",6
40.782904,-73.944087,"River",6
40.720045,-73.974813,"River",6
40.701571,-73.991267,"River",6
40.777635,-73.946536,"River",7
40.75077,-74.026687,"River",7
40.810352,-73.984148,"River",6
40.7235,-73.9507,"River",6
40.717882,-74.015087,"River",7
40.738863,-74.026698,"River",7
40.76878,-74.01686,"River",7
40.744024,-73.970948,"River",6
40.720045,-73.974813,"River",5
40.720756,-74.000761,"River",6
40.7235,-73.9507,"River",6
40.769728,-73.953314,"River",6
40.779721,-73.988761,"River",6
40.76878,-74.01686,"River",6
40.779721,-73.988761,"River",7
40.76878,-74.01686,"River",8
40.779721,-73.988761,"River",6
40.710916,-73.964618,"River",6
