id,ident,type,name,latitude_deg,longitude_deg,elevation_ft,continent,iso_country,iso_region,municipality,scheduled_service,gps_code,iata_code,local_code,home_link,wikipedia_link,keywords,score,last_updated
37840,SWDW,small_airport,"Divisão Airport",-13.116944313049316,-56.16722106933594,1345,SA,BR,BR-MT,Diamantino,0,SWDW,,,,,,50,2008-06-24T09:40:26+00:00
38029,SWPS,small_airport,"Porto São Sebastião Airport",-12.966943740844727,-56.18388748168945,1106,SA,BR,BR-MT,Diamantino,0,SWPS,,,,,,50,2008-06-24T09:40:26+00:00
38059,SWRV,small_airport,"Fazenda Vale do Rio Verde Airport",-12.166943550109863,-56.53388977050781,1378,SA,BR,BR-MT,Diamantino,0,SWRV,,,,,,50,2008-06-24T09:40:26+00:00
38063,SWSA,small_airport,"Fazenda São João Airport",-12.289167404174805,-56.53388977050781,1476,SA,BR,BR-MT,Diamantino,0,SWSA,,,,,,50,2008-06-24T09:40:26+00:00
38084,SWTE,small_airport,"Fazenda Trescinco Airport",-13.916943550109863,-56.65888977050781,1132,SA,BR,BR-MT,Diamantino,0,SWTE,,,,,,50,2008-06-24T09:40:26+00:00
529,SWDN,small_airport,"Dianópolis Airport",-11.5953998566,-46.846698761,2001,SA,BR,BR-TO,Dianópolis,0,SWDN,DNO,,,,,50,2009-10-20T12:54:41+00:00
38166,SWYI,small_airport,"Barragem Manoel Alves Airport",-11.557041,-46.985109,2067,SA,BR,BR-TO,Dianópolis,0,,,,,,SWYI,50,2018-07-15T17:02:38+00:00
446,SSDC,small_airport,"Dionísio Cerqueira Airport",-26.295834,-53.630654,2723,SA,BR,BR-SC,"Dionísio Cerqueira",0,SSDC,,SSDC,,,,50,2010-02-03T13:49:56+00:00
35927,SIEB,small_airport,"Fazenda Carrapicho Airport",-20.746944427490234,-55.35722351074219,932,SA,BR,BR-MS,"Dois Irmãos Do Buriti",0,SIEB,,,,,,50,2008-06-24T09:40:26+00:00
37405,SSBM,small_airport,"Fazenda Lageado Airport",-20.297500610351562,-55.42583465576172,932,SA,BR,BR-MS,"Dois Irmãos Do Buriti",0,SSBM,,,,,,50,2008-06-24T09:40:26+00:00
37941,SWKJ,small_airport,"Fazenda Mutum Airport",-15.398056030273438,-54.608333587646484,1821,SA,BR,BR-MT,"Dom Aquino",0,SWKJ,,,,,,50,2009-08-16T13:34:40+00:00
37073,SNEK,small_airport,"Moria Airport",-16.883888244628906,-46.23638916015625,1201,SA,BR,BR-MG,"Dom Bosco",0,SNEK,,,,,,50,2008-06-24T09:40:26+00:00
36886,SJTZ,small_airport,"Dom Eliseu Airport",-4.3027777671813965,-47.581668853759766,800,SA,BR,BR-PA,"Dom Eliseu",0,SJTZ,,,,,,50,2008-06-24T09:40:26+00:00
36579,SJHK,small_airport,"Música Airport",-30.936111450195312,-55.080833435058594,394,SA,BR,BR-RS,"Dom Pedrito",0,SJHK,,,,,,50,2008-06-24T09:40:26+00:00
37643,SSRQ,small_airport,"Refúgio Airport",-30.919166564941406,-54.467777252197266,709,SA,BR,BR-RS,"Dom Pedrito",0,SSRQ,,,,,,50,2008-06-24T09:40:26+00:00
29828,SNDY,closed,"Dores Do Indaia Airport",-19.457199096679688,-45.58440017700195,2490,SA,BR,BR-MS,"Dores Do Indiaia",0,SNDY,,,,,,50,2008-08-06T22:04:44+00:00
42794,SDDU,closed,"Fazenda Santa Carolina",-22.131000518798828,-48.31930160522461,2302,SA,BR,BR-SP,Dourado,0,,,SDDU,,,,50,2009-03-10T17:13:35+00:00
448,SSEA,closed,"Spessato Aviacao Agricola Airport",-22.215900421142578,-54.74190139770508,1470,SA,BR,BR-MS,Dourados,0,SSEA,,SSEA,,,,50,2008-08-06T22:04:44+00:00
36601,SJII,small_airport,"Fazenda São Marcos Airport",-22.296667098999023,-54.94138717651367,1395,SA,BR,BR-MS,Dourados,0,SJII,,,,,,50,2008-06-24T09:40:26+00:00
36890,SJUD,small_airport,"Usina Dourados Airport",-21.990278244018555,-55.11305618286133,1420,SA,BR,BR-MS,Dourados,0,SJUD,,,,,,50,2008-06-24T09:40:26+00:00
37432,SSDE,small_airport,"Fazenda Barra Dourada Airport",-21.988056182861328,-54.238609313964844,1083,SA,BR,BR-MS,Dourados,0,SSDE,,,,,,50,2008-06-24T09:40:26+00:00
42242,SWQL,small_airport,"Fazenda Três Companheiros Airport",-16.6825008392334,-52.252498626708984,2070,SA,BR,BR-GO,Doverlândia,0,SWQL,,,,,,50,2008-09-29T08:31:07+00:00
35834,SDZV,small_airport,"Fazenda Gandu Airport",-22.476110458374023,-49.470001220703125,1841,SA,BR,BR-SP,Duartina,0,SDZV,,,,,,50,2008-06-24T09:40:26+00:00
37913,SWIO,small_airport,"Fazenda Triângulo Airport",-17.621389389038086,-50.141666412353516,1562,SA,BR,BR-GO,Edéia,0,SWIO,,,,,,50,2008-06-24T09:40:26+00:00
532,SWEI,small_airport,"Eirunepé Airport",-6.639530181884766,-69.87979888916016,412,SA,BR,BR-AM,Eirunepé,0,SWEI,ERN,SWEI,,,,50,2008-06-24T09:40:26+00:00
36532,SJFM,small_airport,"Fazenda Macuco Airport",-23.835832595825195,-54.231388092041016,1149,SA,BR,BR-MS,Eldorado,0,SJFM,,,,,,50,2008-06-24T09:40:26+00:00
36560,SJGO,small_airport,"Eldorado Airport",-23.81861114501953,-54.252498626708984,1079,SA,BR,BR-MS,Eldorado,0,SJGO,,,,,,50,2008-06-24T09:40:26+00:00
37258,SNSV,small_airport,"Fazenda São Pedro Airport",-23.661666870117188,-54.07749938964844,591,SA,BR,BR-MS,Eldorado,0,SNSV,,,,,,50,2008-06-24T09:40:26+00:00
36580,SJHL,small_airport,"Frisama Eldorado Airport",-6.094721794128418,-49.36138916015625,384,SA,BR,BR-MS,"Eldorado Do Carajás",0,SJHL,,,,,,50,2008-06-24T09:40:26+00:00
37478,SSGI,small_airport,"Astral Airport",-30.060277938842773,-51.4375,33,SA,BR,BR-RS,"Eldorado Do Sul",0,SSGI,,,,,,50,2008-06-24T09:40:26+00:00
37573,SSMK,small_airport,"El Dorado Airport",-30.073333740234375,-51.40972137451172,20,SA,BR,BR-RS,"Eldorado Do Sul",0,SSMK,,,,,,50,2008-06-24T09:40:26+00:00
301,SNDW,small_airport,"Divisa Airport",-15.717222213745117,-41.0172233581543,3051,SA,BR,BR-BA,Encruzilhada,0,SNDW,,SNDW,,,,50,2008-09-09T08:34:02+00:00
37453,SSES,small_airport,"Encruzilhada do Sul Airport",-30.558889389038086,-52.58250045776367,1460,SA,BR,BR-RS,"Encruzilhada Do Sul",0,SSES,,,,,,50,2008-06-24T09:40:26+00:00
36590,SJHW,small_airport,"Professor Maurício Joppert Airport",-17.293611526489258,-43.95861053466797,2221,SA,BR,BR-MG,"Engenheiro Navarro",0,SJHW,,,,,,50,2008-06-24T09:40:26+00:00
36393,SIZA,small_airport,"Parque Manoelito Argolo Airport",-11.960277557373047,-38.002777099609375,558,SA,BR,BR-BA,"Entre Rios",0,SIZA,,,,,,50,2008-06-24T09:40:26+00:00
36611,SJIU,small_airport,"Fazenda Beija-Flor Airport",-11.794166564941406,-38.0908317565918,555,SA,BR,BR-BA,Esplanada,0,SJIU,,,,,,50,2008-06-24T09:40:26+00:00
37076,SNES,small_airport,"Esplanada Airport",-11.750555992126465,-37.950279235839844,164,SA,BR,BR-BA,Esplanada,0,SNES,,,,,,50,2008-06-24T09:40:26+00:00
37199,SNOD,small_airport,"Praia do Saco Airport",-11.421943664550781,-37.3224983215332,20,SA,BR,BR-SE,Estância,0,SNOD,,,,,,50,2008-06-24T09:40:26+00:00
35463,SDCT,small_airport,"Fazenda Santo Antonio do Oriçanga Airport",-22.22861099243164,-46.970001220703125,2237,SA,BR,BR-SP,"Estiva Gerbi",0,SDCT,,,,,,50,2008-06-24T09:40:26+00:00
257,SJFF,small_airport,"Frigo Estrela Airport",-20.294721603393555,-50.41055679321289,1595,SA,BR,BR-SP,"Estrela D`Oeste",0,SJFF,,SJFF,,,,50,2009-08-16T13:34:07+00:00
303,SNEU,small_airport,"Euclides da Cunha Airport",-10.527299880981445,-39.03269958496094,1499,SA,BR,BR-BA,"Euclides Da Cunha",0,SNEU,,SNEU,,,,50,2008-06-24T09:40:26+00:00
41683,SNCQ,small_airport,"Cocorobó Airport",-10.5272216797,-39.0330543518,1509,SA,BR,BR-BA,"Euclides Da Cunha",0,SNCQ,,,,,,50,2010-02-03T12:18:47+00:00
36959,SJWX,small_airport,"Rio Alegre Airport",-22.575000762939453,-52.503055572509766,981,SA,BR,BR-SP,"Euclides Da Cunha Paulista",0,SJWX,,,,,,50,2008-06-24T09:40:26+00:00
29861,SNEP,closed,"Eunápolis Airport",-16.329201,-39.5769,610,SA,BR,BR-BA,Eunápolis,0,,,,,,SNEP,50,2017-05-05T21:55:00+00:00
