Time,CPU (%),RAM (%),TCP Out (MB)
2019.6636796042617,0.27,12.69,0
2019.6636815068493,0.14,12.69,0
2019.6636834094368,0.1,12.69,0
2019.6636853120244,0.16,12.69,0
2019.6636872146119,0.1,12.69,0
2019.6636891171993,0.51,12.72,0
2019.663691019787,0.16,12.71,0
2019.6636929223744,0.12,12.71,0
2019.663694824962,0.13,12.71,0
2019.6636967275494,0.14,12.71,0
2019.6636986301369,0.56,12.73,0
2019.6637005327245,0.08,12.71,0
2019.663702435312,0.13,12.71,0
2019.6637043378996,0.16,12.71,0
2019.663706240487,0.12,12.71,0
2019.6637081430745,0.38,12.71,0
2019.6637100456621,0.14,12.69,0
2019.6637119482496,0.2,12.69,0
2019.6637138508372,0.12,12.69,0
2019.6637157534246,0.16,12.7,0
2019.663717656012,0.41,12.7,0
2019.6637195585997,0.18,12.69,0
2019.6637214611872,0.14,12.69,0
2019.6637233637748,0.14,12.69,0
2019.6637252663622,0.24,12.69,0
2019.6637271689497,0.56,12.69,0
2019.6637290715373,0.18,12.68,0
2019.6637309741247,0.15,12.68,0
2019.6637328767124,7.28,12.88,0.01
2019.6637347792998,0.14,12.49,0
2019.6637366818873,0.5,12.52,0
2019.663738584475,0.25,12.5,0
2019.6637404870623,0.24,12.5,0
2019.66374238965,0.12,12.46,0
2019.6637442922374,0.24,12.43,0
2019.6637461948249,2.17,12.51,0.01
2019.6637480974125,0.18,12.45,0
2019.66375,0.16,12.45,0
2019.6637519025876,0.3,12.45,0
2019.663753805175,0.2,12.45,0
2019.6637557077624,0.24,12.45,0
2019.66375761035,0.5,12.46,0
2019.6637595129375,0.15,12.45,0
2019.6637614155252,0.15,12.45,0
2019.6637633181126,0.32,12.45,0
2019.6637652207,0.34,12.46,0
2019.6637671232877,0.32,12.46,0
2019.6637690258751,0.17,12.45,0
2019.6637709284628,0.16,12.44,0
2019.6637728310502,0.31,12.46,0
2019.6637747336376,0.24,12.46,0
2019.6637766362253,0.36,12.47,0
2019.6637785388127,0.17,12.47,0
2019.6637804414004,0.13,12.46,0
2019.6637823439878,0.11,12.46,0
2019.6637842465752,0.39,12.44,0
2019.663786149163,0.27,12.47,0
2019.6637880517503,0.23,12.46,0
2019.663789954338,0.18,12.46,0
2019.6637918569254,0.21,12.46,0
2019.6637937595128,2.6,12.47,0
2019.6637956621005,0.32,12.47,0
2019.663797564688,0.21,12.45,0
2019.6637994672756,0.19,12.44,0
2019.663801369863,0.29,12.44,0
2019.6638032724504,0.37,12.44,0
2019.663805175038,0.39,12.46,0
2019.6638070776255,0.22,12.46,0
2019.6638089802132,0.23,12.46,0
2019.6638108828006,0.2,12.46,0
2019.663812785388,0.45,12.42,0
2019.6638146879757,0.36,12.43,0
2019.663816590563,0.26,12.44,0
2019.6638184931508,0.19,12.43,0
2019.6638203957382,0.21,12.43,0
