COD_UF,SG_UF,NM_UF,NM_MICRO,NM_MESO,TP_MUNICIPIO,CD_MUNICIPIO,NM_MUNICIPIO,LONG,LAT,ALT
15,PA,PARÁ,CAMETÁ,NORDESTE PARAENSE,URBANO,1500107,ABAETETUBA,-4888440382,-1723469863,10120343
15,PA,PARÁ,PARAGOMINAS,SUDESTE PARAENSE,URBANO,1500131,ABEL FIGUEIREDO,-4839676213,-4951390896,192756651
15,PA,PARÁ,TOMÉ-AÇU,NORDESTE PARAENSE,URBANO,1500206,ACARÁ,-4820045643,-19634365,7395031
15,PA,PARÁ,FUROS DE BREVES,MARAJÓ,URBANO,1500305,AFUÁ,-5039142759,-159171694,3136401
15,PA,PARÁ,PARAUAPEBAS,SUDESTE PARAENSE,URBANO,1500347,ÁGUA AZUL DO NORTE,-5048527451,-6804948867,296299435
15,PA,PARÁ,SANTARÉM,BAIXO AMAZONAS,URBANO,1500404,ALENQUER,-5474086235,-1951397505,39131195
15,PA,PARÁ,SÃO FÉLIX DO XINGU,SUDESTE PARAENSE,URBANO,1501253,BANNACH,-5040604712,-7351072192,4013302
15,PA,PARÁ,BELÉM,METROPOLITANA DE BELÉM,URBANO,1501303,BARCARENA,-4862707289,-1505767005,7076526
15,PA,PARÁ,BELÉM,METROPOLITANA DE BELÉM,URBANO,1501402,BELÉM,-4848782569,-1459845,8471477
15,PA,PARÁ,SANTARÉM,BAIXO AMAZONAS,URBANO,1501451,BELTERRA,-5494267474,-2649020169,167560031
15,PA,PARÁ,BELÉM,METROPOLITANA DE BELÉM,URBANO,1501501,BENEVIDES,-4824183645,-1361437515,3161379
15,PA,PARÁ,PARAGOMINAS,SUDESTE PARAENSE,URBANO,1501576,BOM JESUS DO TOCANTINS,-4859903996,-5047362704,172278567
15,PA,PARÁ,BRAGANTINA,NORDESTE PARAENSE,URBANO,1501600,BONITO,-4730589182,-1367474357,54760633
15,PA,PARÁ,BRAGANTINA,NORDESTE PARAENSE,URBANO,1501709,BRAGANÇA,-4676575421,-1053523956,16040139
15,PA,PARÁ,TUCURUÍ,SUDESTE PARAENSE,URBANO,1501782,BREU BRANCO,-4956987968,-3778135413,95475014
15,PA,PARÁ,FUROS DE BREVES,MARAJÓ,URBANO,1501808,BREVES,-504808948,-16907365,990157
15,PA,PARÁ,CASTANHAL,METROPOLITANA DE BELÉM,URBANO,1501907,BUJARU,-4803587501,-1513991462,17010542
15,PA,PARÁ,GUAMÁ,NORDESTE PARAENSE,URBANO,1501956,CACHOEIRA DO PIRIÁ,-4654739142,-1752897005,48722592
15,PA,PARÁ,ARARI,MARAJÓ,URBANO,1502004,CACHOEIRA DO ARARI,-4896066758,-1008786266,9563874
15,PA,PARÁ,CAMETÁ,NORDESTE PARAENSE,URBANO,1502103,CAMETÁ,-4949783017,-224683848,11228958
15,PA,PARÁ,PARAUAPEBAS,SUDESTE PARAENSE,URBANO,1502152,CANAÃ DOS CARAJÁS,-4984895843,-6532196616,295750409
15,PA,PARÁ,ALTAMIRA,SUDOESTE PARAENSE,URBANO,1501725,BRASIL NOVO,-5254344119,-3297803704,189051168
15,PA,PARÁ,MARABÁ,SUDESTE PARAENSE,URBANO,1501758,BREJO GRANDE DO ARAGUAIA,-4840576042,-5707296154,221292832
15,PA,PARÁ,TUCURUÍ,SUDESTE PARAENSE,URBANO,1503705,ITUPIRANGA,-4932442586,-5128837026,88561741
15,PA,PARÁ,ITAITUBA,SUDOESTE PARAENSE,URBANO,1503754,JACAREACANGA,-5776633986,-6223551731,91910223
15,PA,PARÁ,TUCURUÍ,SUDESTE PARAENSE,URBANO,1503804,JACUNDÁ,-4911278156,-4448405475,117087267
15,PA,PARÁ,ÓBIDOS,BAIXO AMAZONAS,URBANO,1503903,JURUTI,-5609499769,-2155252995,25611357
15,PA,PARÁ,CAMETÁ,NORDESTE PARAENSE,URBANO,1504000,LIMOEIRO DO AJURU,-493815339,-18919485,7667906
15,PA,PARÁ,GUAMÁ,NORDESTE PARAENSE,URBANO,1504059,MÃE DO RIO,-4755229018,-2047707441,41375185
15,PA,PARÁ,SALGADO,NORDESTE PARAENSE,URBANO,1504109,MAGALHÃES BARATA,-475991819,-795850156,22995751
15,PA,PARÁ,MARABÁ,SUDESTE PARAENSE,URBANO,1504208,MARABÁ,-4914202533,-5352605763,83617783
15,PA,PARÁ,SALGADO,NORDESTE PARAENSE,URBANO,1504307,MARACANÃ,-4745526796,-76241946,21232481
15,PA,PARÁ,SALGADO,NORDESTE PARAENSE,URBANO,1504406,MARAPANIM,-4770254875,-712150996,10012599
