PG,"150.51,-10.4 -9.39,1.25 -9.39,7.79"
PY,"-58.37,-20.07 3.93,-6.06 -0.31,-7.39 -4.54,-2.13"
PE,"-81.55,-5.08 10.98,-13.47 11.7,-5.98 7.36,-2.83 10.48,1 5.79,4.96"
PH,"121.27,13.41 1.2,4.94 -0.94,4.94"
PN,""
PL,"18.8,54.45 4.41,-0.47 4.84,-2.8 3.27,-5.27 -0.33,-4.9 -4.21,-3.67 -5.05,-0.59"
PT,"-9.01,42.02 2.1,0 1.75,-4.81 0,-4.95"
PR,"-67.44,18.6 0.81,-0.82 1.67,0.03"
QA,""
RE,""
RO,"28.04,45.86 1.03,-0.98 0.03,-2.25 -1.36,-1.68 -5.58,-2.18 -5.58,-1.18 -7.79,0.21 -5.58,1.92 -1.31,1.92"
RU,"37.2,45 2.64,-1.65 9.64,-3.73 11.22,-3.36 9.57,-0.44 11.65,1.64 10.01,5.5 23.82,6.14 33.28,10.07 49.47,3.86 50.67,3.86 62,6.84 79.41,4.56 85.21,8.36 96.99,3.03 93.9,-1.97 103.23,3.68 104.05,8.42 98.05,10.14 105.24,14.06 126.61,16.97 118.42,10.25 119.36,5.63 142.39,19.89 142.39,24.2 67.5,32.48 35.92,25.9 3.9,21.79 -6.75,25.06 -8.39,24.2 -6.18,17.74 -8.95,15.89 -9.77,14.18 -9.9,12.6 -9.46,11.02 -5.74,7.28 2.64,3.74*-170.88,66.06 -3.19,-1.91 -9.53,-0.97 -9.53,2.78*21.07,55.33 -2.27,-0.88 2.14,-1.34"
RW,"30.55,-2.3 0,1 -0.98,1.48 -1.65,-0.56"
BL,""
SH,""
KN,""
LC,""
MF,""
PM,""
VC,""
WS,""
SM,""
ST,""
SA,"38.97,32.02 7.31,-2.79 12.48,-8.11 16.13,-9.45 12.79,-13.37 3.71,-15.08 -4.29,-4.05 -4.04,-2.79"
SN,"-13.78,12.42 2.33,0.16 1.38,2.25 -2.66,4.2 -3.57,1.51 -0.45,1.1 -3.28,0.59"
RS,"19.3,43.61 1.51,-1.52 3.16,-1.21 3.16,1.07 0.94,2.46 -0.58,2.16"
SC,""
SL,"-11.51,7.2 1,2.02 -1.9,2.02"
SG,""
SK,"22.08,48.3 0,0.89 -3.6,1.26 -5.78,0.34 -5.01,-0.42"
SI,"14.71,45.13 1.44,1.83 -1.4,1.39 -1.27,0.64"
SB,""
SO,"51.43,10.62 -8.36,0.76 -8.96,0.12 -3.83,-2.82 -9.68,-6.63 -9.84,-12.12"
ZA,"29.03,-22.43 -9.16,-3.77 -12.48,-6.47 -9.59,-12.21 -3.11,-11.71 3.65,-4.31 2.64,-3.31 2.05,0"
GS,""
SS,"35.84,4.8 -1.86,4.6 -12.45,3.87 -8.67,0.45 -5.26,-1.27 -2.07,-1.02"
ES,"-9.01,42.02 0.33,1.45 7.26,1.26 11.88,0.36 7.15,-5.17 3.12,-5.77 1.75,-4.81 2.1,0"
LK,"80.18,9.48 -0.07,-3.43 1.95,-2.16"
SD,"36.7,21.83 1.4,-3.99 -0.54,-7.24 -2.72,-12.43 -13.31,-13.16 -14.06,-10.95 -12.74,-2.28 -11.8,0"
SR,"-57.26,5.95 2.32,0 2.32,-3.35 0.5,-3.85"
SJ,"10.74,79.64 15.31,0.25 5.92,-2.91"
SZ,"32.69,-26.74 -1.85,0 -1.01,1"
SE,"23.81,65.93 -10.36,-10.37 -12.82,-6.94 -3.51,3.5"
CH,"7.14,45.81 3.6,0.9 3.14,1.51 -0.46,1.33"
SY,"36.01,35.79 -0.08,-1.04 0.46,-1.58 -0.55,-2.4 -0.54,-2.59 0.88,-3.45 5.16,-1.3 5.28,0.95"
TW,"119.88,23.73 1.01,-1.72 1.89,1.32"
TJ,"74.89,37.22 -3.21,-0.65 -7.07,0 -5.6,2.68 -1.4,2.14"
TZ,"40.21,-10.49 -1.26,5.78 -6.43,9.42 -9.66,9.19 -9.66,8.19 -10.73,6.16 -9.59,2.24 -7,0.67 -5.61,-1.19"
TH,"101.92,6.32 -2.83,4.04 -1.71,7.2 0.51,6.14 3.4,8.1 -2.08,14.23 -4.25,12.05 -2.77,6.14 -3.57,3.94 -1.63,0.05"
TL,""
TG,"0.97,11 -1.07,-0.07 0.12,-4.82"
TK,""
TO,""
TT,""
TN,"8.22,36.77 3.26,-3.75 1.05,-6.6"
TR,"41.49,41.52 -12.17,-0.64 -14.87,-1.47 -11.42,-5.39 -5.49,-5.74 -0.21,-4.79 2.96,-4.31 1.94,-0.52*28.38,41.27 -0.88,0.82 -2.08,0.67 -2.08,0"
TM,"52.58,41.14 0.82,-4.3 8.38,-5.64 13.86,-3.61 6.05,1.45 3.28,0.13 1.28,0.6 1.7,-0.58"
TC,""
TV,""
UG,"30.55,-1.29 -0.98,0.47 0.03,4.82 3.23,5.07 3.23,0.21"
UA,"30.78,46.27 2.18,-0.39 2.75,-1.85 4.9,-1.22 4.03,0 7.75,0.62 9.07,2.46 0.68,6.01 -7.14,5.38 -8.71,2.91 -8.71,2.02 -8.32,1.51 -4.05,1.51 -1.97,1.7 -0.52,0.25 -2.75,-0.41 -1.72,-1.4"
AE,"55.1,22.58 0.87,3.3 -3.65,1.34"
GB,"-6.64,57.66 3.26,-3.08 1.14,-7.34 8.14,-5.05 2.76,1.17"
